Gemeentecode,Gemeentenaam,Grote_gemeente,Inwonertal,Provincienaam,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19
GM0228,Ede,Ja,115710,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5
GM0317,Eemnes,Nee,9113,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0770,Eersel,Nee,19110,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4
GM1903,Eijsden-Margraten,Nee,25658,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4
GM0772,Eindhoven,Ja,231642,Noord-Brabant,0,0,0,0,0,1,1,3,4,4,6,7,8,8,8,12,13,21,21,22,23,24
GM0230,Elburg,Nee,23086,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
GM0114,Emmen,Ja,107113,Drenthe,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3
GM0388,Enkhuizen,Nee,18507,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
GM0153,Enschede,Ja,158986,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,7
GM0232,Epe,Nee,33145,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4
GM0233,Ermelo,Nee,26858,Gelderland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,5,7,8,8,8,8
GM0777,Etten-Leur,Nee,43774,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,1,3,5,5,6,7,8,10,12,13,14
GM0779,Geertruidenberg,Nee,21515,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,5,7,7
GM1771,Geldrop-Mierlo,Nee,39595,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,4
GM1652,Gemert-Bakel,Nee,30447,Noord-Brabant,0,0,0,0,0,0,0,1,1,1,1,1,2,4,7,11,13,16,20,25,26,31
GM0907,Gennep,Nee,17071,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4
GM0784,Gilze en Rijen,Nee,26431,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,5
GM1924,Goeree-Overflakkee,Nee,49611,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,7,8
GM0664,Goes,Nee,37653,Zeeland,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3
GM0785,Goirle,Nee,23793,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,4,4,6,6,6,6,6,9,9,9,11
GM1942,Gooise Meren,Nee,57715,Noord-Holland,0,0,0,0,0,0,1,1,2,2,2,2,2,4,3,3,4,4,4,9,9,10
GM0512,Gorinchem,Nee,36682,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GM0513,Gouda,Nee,73181,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,5,7,9
GM0786,Grave,Nee,12483,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
GM0014,Groningen,Ja,231299,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,7,7,11,23
GM1729,Gulpen-Wittem,Nee,14246,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
GM0158,Haaksbergen,Nee,24277,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
GM0788,Haaren,Nee,14195,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,7,7,7,7,7,9,9
GM0392,Haarlem,Ja,161265,Noord-Holland,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,4,4,4,6,7,7,10
GM0394,Haarlemmermeer,Ja,154235,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,5
GM1655,Halderberge,Nee,30194,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
GM0160,Hardenberg,Nee,60574,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0243,Harderwijk,Nee,47581,Gelderland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,5,5
GM0523,Hardinxveld-Giessendam,Nee,18051,Zuid-Holland,0,0,0,0,0,0,1,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5
GM0072,Harlingen,Nee,15758,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GM0244,Hattem,Nee,12173,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0396,Heemskerk,Nee,39164,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3
GM0397,Heemstede,Nee,27286,Noord-Holland,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,5,5,5,5
GM0246,Heerde,Nee,18546,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4
GM0074,Heerenveen,Nee,50257,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0398,Heerhugowaard,Nee,56742,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
GM0917,Heerlen,Nee,86832,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,6,8,14,15
GM1658,Heeze-Leende,Nee,15964,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,4
GM0399,Heiloo,Nee,23464,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3
GM0163,Hellendoorn,Nee,35808,Overijssel,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
GM0530,Hellevoetsluis,Nee,40049,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
GM0794,Helmond,Nee,91524,Noord-Brabant,0,0,0,0,1,4,4,4,4,4,5,7,11,12,14,16,17,17,17,19,20,22
GM0531,Hendrik-Ido-Ambacht,Nee,30966,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0164,Hengelo,Nee,80683,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,4
GM1966,Het Hogeland,Nee,47888,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0252,Heumen,Nee,16486,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,6
GM0797,Heusden,Nee,44135,Noord-Brabant,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,4,4,4,5,6
GM0534,Hillegom,Nee,21966,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GM0798,Hilvarenbeek,Nee,15334,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,4,4,4,4
GM0402,Hilversum,Nee,90238,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3
GM1963,Hoeksche Waard,Nee,86656,Zuid-Holland,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,1,1,2,4,6,8,12
GM1735,Hof van Twente,Nee,34940,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3
GM1911,Hollands Kroon,Nee,47815,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
GM0118,Hoogeveen,Nee,55662,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3
GM0405,Hoorn,Nee,73004,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
GM1507,Horst aan de Maas,Nee,42291,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,8,8,10
GM0321,Houten,Nee,49911,Utrecht,0,0,0,0,1,1,1,9,9,13,13,13,13,13,13,13,13,13,13,13,14,17
GM0406,Huizen,Nee,41273,Noord-Holland,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,2,3
GM0677,Hulst,Nee,27524,Zeeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0353,IJsselstein,Nee,34160,Utrecht,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,6,7,8
